# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1872
#@/user_id	f1c9d795-0135-4a3d-9b4c-a295cde06be4
a 	啊	c=14 d=1.37392 t=1745
jing xi 	驚喜	c=0 d=0.100106 t=1478
jing xia 	驚嚇	c=0 d=0.1 t=1479
jiu 	就	c=6 d=1.59531 t=1842
jiu bu cuo hang 	就不錯行	c=1 d=1 t=1527
jiu bu cuo le 	就不錯了	c=1 d=1 t=1201
jiu de 	舊的	c=1 d=1 t=1731
jiu gao le 	就搞了	c=1 d=1 t=962
jiu hao le 	就好了	c=1 d=1 t=1580
jiu hui 	就會	c=1 d=1 t=1253
jiu neng 	就能	c=2 d=1.1764 t=1530
jiu rang ta 	就讓他	c=1 d=1 t=1370
jiu shi 	就是	c=10 d=1.15252 t=1834
jiu shi xiang 	就是想	c=1 d=1 t=930
jiu xian 	就先	c=0 d=0.120909 t=1643
jiu xing 	就行	c=3 d=0.974791 t=1006
jiu xing le 	就行了	c=3 d=1.02519 t=1766
jiu xu yao 	就需要	c=1 d=1 t=1087
jiu zhe me zou le 	就這麼走了	c=1 d=1 t=685
ju 	句	c=1 d=1 t=410
ju ti 	具體	c=1 d=0.108354 t=1280
jue de 	覺得	c=1 d=0.257237 t=1312
kai 	開	c=1 d=1.08176 t=799
kai fa 	開發	c=3 d=1.20916 t=1620
kai fa le yi ge 	開發了一個	c=1 d=1 t=608
kai fang 	開放	c=1 d=1.1 t=535
kai fang jie kou 	開放接口	c=1 d=1 t=536
kai piao 	開票	c=2 d=2.07032 t=1601
kai piao ri qi 	開票日期	c=1 d=1 t=1602
kai qi 	開啓	c=1 d=1 t=1659
kai shi 	開始	c=4 d=1.91276 t=1802
kai shi gong zuo 	開始工作	c=1 d=1 t=624
kai yi ge 	開一個	c=2 d=1.93707 t=59
kan ba 	看吧	c=0 d=0.1 t=926
kan bu dong 	看不懂	c=0 d=0.1 t=906
kan dao 	看到	c=0 d=0.1 t=680
kan dao le 	看到了	c=1 d=1 t=1312
kan dian 	看點	c=0 d=0.1 t=693
kan dian le 	看點了	c=1 d=1 t=694
kan dian shi 	看電視	c=1 d=1 t=1351
kan kan 	看看	c=4 d=1.38498 t=1649
kan wan 	看完	c=0 d=0.1 t=1219
kan yi xia 	看一下	c=1 d=1.09656 t=57
kan zhe 	看着	c=1 d=1 t=1494
ke fu 	客服	c=0 d=0.1 t=486
ke hu 	客戶	c=1 d=1.21071 t=1785
ke hu shuo 	客戶說	c=1 d=1 t=1761
ke hu wen ta 	客戶問她	c=1 d=1 t=1754
ke neng 	可能	c=1 d=1 t=30
ke sou 	咳嗽	c=0 d=0.100156 t=1401
ke sou le ma 	咳嗽了嗎	c=1 d=1 t=1402
ke yi 	可以	c=1 d=0.198625 t=1517
ke yi xian kan kan 	可以先看看	c=1 d=1 t=197
ken ding 	肯定	c=1 d=1.00567 t=1154
ken ding hao chi 	肯定好喫	c=1 d=1 t=581
keng 	坑	c=0 d=0.105813 t=1814
kong 	空	c=1 d=1 t=265
kou bei 	口碑	c=1 d=1 t=1324
ku 	庫	c=0 d=0.1 t=987
kua 	跨	c=1 d=1 t=987
kuai che 	快車	c=1 d=1 t=1614
kuai dao 	快到	c=1 d=1 t=1448
kuo zhan 	擴展	c=0 d=0.1 t=1035
kuo zhan zi duan 	擴展字段	c=1 d=1 t=1036
la 	啦	c=0 d=0.0985112 t=1872
la chou chou 	啦臭臭	c=1 d=1 t=1569
lai 	來	c=2 d=1.91132 t=1648
lai bao jing le 	來報警了	c=1 d=1 t=1276
lai jin 	來勁	c=0 d=0.1 t=1781
lai jin le 	來勁了	c=1 d=1 t=1782
lan de 	懶得	c=0 d=0.1 t=928
lan de nong 	懶得弄	c=1 d=1 t=929
lao ban 	老闆	c=1 d=1.09501 t=1312
lao ban jue de 	老闆覺得	c=1 d=1 t=1313
lao qu 	老去	c=1 d=1 t=1423
lao shi 	老師	c=0 d=0.100318 t=1780
le 	了	c=4 d=0.84819 t=1792
le ma 	了嗎	c=1 d=0.134336 t=1739
le yi 	樂意	c=1 d=1 t=1780
lei 	類	c=0 d=0.1 t=391
lei xing 	類型	c=4 d=1.94169 t=571
li 	梨	c=1 d=1 t=1595
li 	裏	c=4 d=1.75664 t=956
li mian 	裏面	c=1 d=1.06591 t=876
li mian de 	裏面的	c=2 d=1.23457 t=1055
li mian le ma 	裏面了嗎	c=1 d=1 t=737
li wu 	禮物	c=0 d=0.1 t=1449
li zhi 	離職	c=1 d=1 t=1181
lia 	倆	c=1 d=1 t=1427
lian 	臉	c=0 d=0.1 t=1225
lian de 	連得	c=1 d=1 t=1102
lian jie 	鏈接	c=2 d=1.07244 t=1633
lian jie di zhi 	鏈接地址	c=1 d=1 t=1080
lian tiao 	聯調	c=1 d=1 t=383
lian xi 	聯繫	c=0 d=0.1 t=486
lian xi ke fu 	聯繫客服	c=1 d=1 t=487
lian xi ren 	聯繫人	c=4 d=1.35776 t=1032
liang da 	兩大	c=0 d=0.1 t=585
liang da bei le 	兩大杯了	c=1 d=1 t=586
liang ge 	兩個	c=0 d=0.1 t=987
liang ge ku 	兩個庫	c=1 d=1 t=988
liang zhou 	兩週	c=1 d=1.1 t=1373
liao jie le 	瞭解了	c=1 d=1 t=1513
lie biao 	列表	c=1 d=1 t=424
lin 	林	c=1 d=0.581909 t=1780
lin ken gong yuan 	林肯公园	c=2 d=1.99501 t=1026
lin lao shi 	林老師	c=1 d=1 t=1781
lin shi 	臨時	c=1 d=1 t=607
ling dao 	領導	c=1 d=1.0802 t=1172
ling dao ren 	領導人	c=1 d=1 t=654
ling dao shuo 	領導說	c=1 d=1 t=1173
ling yi ge 	另一個	c=1 d=1 t=54
liu 	六	c=1 d=1 t=121
liu 	留	c=1 d=1 t=1249
liu bu zhu 	留不住	c=0 d=0.1 t=597
liu bu zhu ren de 	留不住人的	c=1 d=1 t=598
liu cheng 	流程	c=3 d=2.35727 t=354
liu cheng she ji 	流程设计	c=1 d=1 t=194
liu le 	流了	c=0 d=0.1 t=1245
liu le 	留了	c=0 d=0.1 t=1814
liu le keng 	留了坑	c=1 d=1 t=1815
liu le yi ge keng 	流了一個坑	c=1 d=1 t=1246
liu liang 	流量	c=0 d=0.1 t=1824
liu liang bao 	流量包	c=1 d=1 t=1825
lou dong 	漏洞	c=0 d=0.1 t=974
lu 	盧	c=0 d=0.1 t=492
lu 	路	c=0 d=0.1 t=491
lu lao shi 	盧老師	c=2 d=1.0033 t=1636
lu lao shi 	路老師	c=1 d=1 t=492
luo ji 	邏輯	c=3 d=1.00192 t=1823
luo tuo 	駱駝	c=1 d=1 t=1428
ma 	嗎	c=3 d=0.962653 t=1477
mai 	買	c=2 d=1.9269 t=1715
mai dian 	買點	c=1 d=1 t=1851
mai duan 	買斷	c=2 d=2.03165 t=374
mai ge 	買個	c=1 d=1.099 t=1712
mai ge rou chi 	買個肉吃	c=1 d=1 t=1711
mai le 	買了	c=0 d=0.1 t=1007
man 	慢	c=0 d=0.1 t=990
man yi 	滿意	c=0 d=0.1 t=1749
man yi ba 	滿意吧	c=2 d=1.66698 t=1831
man yi du 	滿意度	c=1 d=1 t=1335
mei 	沒	c=2 d=0.645523 t=1812
mei duo shao 	沒多少	c=1 d=1 t=693
mei kan 	沒看	c=1 d=1 t=1222
mei na me jian dan 	沒那麼簡單	c=1 d=1 t=895
mei nao zi 	沒腦子	c=1 d=1 t=1847
mei ren 	沒人	c=0 d=0.132792 t=900
mei ren qu zai yi 	沒人去在意	c=1 d=1 t=901
mei ren zhao ni 	沒人找你	c=1 d=1 t=678
mei sha 	沒啥	c=0 d=0.129083 t=807
mei sha ji shu han liang 	沒啥技術含量	c=1 d=1 t=808
mei sha shi ba 	沒啥事吧	c=1 d=1 t=561
mei shen me 	沒什麼	c=1 d=1 t=1003
mei shi 	沒事	c=2 d=1.39455 t=1608
mei shou fei 	沒收費	c=2 d=1.94176 t=1765
mei tian 	每天	c=1 d=1 t=1586
mei wen ti 	沒問題	c=1 d=1 t=1109
mei yong 	沒用	c=0 d=0.1 t=489
mei you 	沒有	c=3 d=1.11508 t=1458
mei you dong 	沒有動	c=1 d=1 t=1290
mei you jing xi 	沒有驚喜	c=1 d=1 t=1479
mei you le ba 	沒有了吧	c=1 d=1 t=1699
mei you lou dong 	沒有漏洞	c=1 d=1 t=975
mei you ta 	沒有他	c=1 d=1 t=704
mei zhao dao 	沒找到	c=1 d=1 t=1125
men shang 	門上	c=1 d=1 t=1234
mi ma 	密碼	c=1 d=1 t=16
mi yao 	密鑰	c=2 d=1.99501 t=75
mi yue 	密鑰	c=1 d=1 t=28
ming 	名	c=1 d=1 t=1083
ming bai 	明白	c=0 d=0.181873 t=1812
ming cheng 	名稱	c=7 d=0.144445 t=1520
ming zi 	名字	c=1 d=1 t=604
mo fang 	模仿	c=0 d=0.1 t=699
mo fang na ge 	模仿那個	c=1 d=1 t=700
mo ni 	模擬	c=1 d=1 t=1528
mu lu 	目錄	c=1 d=1 t=764
mu lu xia 	目錄下	c=1 d=1 t=871
mu qian 	目前	c=2 d=1.01094 t=1148
na 	那	c=1 d=0.508474 t=1643
na ge 	那個	c=3 d=2.17982 t=1306
na ge ge men 	那個哥們	c=1 d=1 t=1307
na lai 	拿來	c=1 d=1 t=612
na li 	哪裏	c=1 d=1 t=1801
na me 	那麼	c=0 d=0.141478 t=1070
na shi 	那時	c=1 d=1 t=976
na wo jiu xian bu dong le 	那我就先不動了	c=1 d=1 t=1644
na wo ke yi 	那我可以	c=1 d=1 t=937
na xie 	哪些	c=2 d=1.90032 t=834
na zi ji 	那自己	c=1 d=1 t=945
nan 	南	c=0 d=0.1 t=116
nan hai jia yuan 	南海家園	c=2 d=1.97045 t=123
nao dai 	腦袋	c=0 d=0.1 t=1816
nei 	內	c=1 d=1.07672 t=326
nei rong 	內容	c=1 d=1 t=1056
nei zhi 	內置	c=1 d=1 t=214
neng 	能	c=3 d=0.712958 t=1588
neng bu neng 	能不能	c=1 d=1 t=1060
neng ce 	能測	c=1 d=1 t=381
neng gao ding 	能搞定	c=1 d=1 t=944
neng li 	能力	c=0 d=0.1 t=1192
neng yong 	能用	c=2 d=1.21119 t=396
neng zhao dao 	能找到	c=1 d=1 t=444
ni 	你	c=8 d=0.77573 t=1872
ni 	妮	c=0 d=0.1 t=5
ni ba 	你把	c=1 d=1 t=1475
ni ba ni de 	你把你的	c=1 d=1 t=809
ni bu xing 	你不行	c=1 d=1 t=1744
ni cang a 	你藏啊	c=1 d=1 t=107
ni cao zuo 	你操作	c=1 d=1 t=50
ni de 	你的	c=2 d=1.07567 t=902
ni de yuan dai ma 	你的源代碼	c=1 d=1 t=733
ni deng deng 	你等等	c=1 d=1 t=995
ni dou ting bu dong le 	你都聽不懂了	c=1 d=1 t=87
ni gang fa 	你剛發	c=1 d=1 t=921
ni gei 	你給	c=1 d=1 t=1603
ni gong xiang ping mu 	你共享屏幕	c=1 d=1 t=64
ni ha o 	你哈哦	c=1 d=0.995012 t=1872
ni hai zai deng 	你還在等	c=1 d=1 t=517
ni hao 	你好	c=1 d=1 t=98
ni hao a 	你好啊	c=4 d=1.9802 t=1872
ni hao a 	妮好啊	c=1 d=1 t=6
ni ji ge 	你幾個	c=1 d=1 t=1016
ni jin tian 	你今天	c=1 d=1 t=1401
ni kan kan 	你看看	c=1 d=1 t=1388
ni ke yi 	你可以	c=1 d=1 t=611
ni ke yi wan 	你可以玩	c=1 d=1 t=1518
ni men 	你們	c=1 d=1.12125 t=836
ni men de ji shu 	你們的技術	c=1 d=1 t=755
ni men lia 	你們倆	c=1 d=1 t=1645
ni men ruan jian de 	你們軟件的	c=1 d=1 t=717
ni men zi ji 	你們自己	c=1 d=1 t=722
ni qu 	你去	c=0 d=0.1 t=1735
ni qu wan le 	你去晚了	c=1 d=1 t=1736
ni tai nan le 	你太難了	c=1 d=1 t=1014
ni xian 	你先	c=2 d=1.18452 t=1091
ni xian zai 	你現在	c=1 d=1 t=738
ni xiang yao 	你想要	c=0 d=0.1 t=1449
ni xiang yao shen me li wu 	你想要什麼禮物	c=1 d=1 t=1450
ni yao shi 	你要是	c=1 d=1 t=941
ni ye fa bu guo lai ba 	你也發佈過來吧	c=1 d=1 t=844
ni ye huo dong huo dong 	你也活動活動	c=1 d=1 t=1413
ni you 	你有	c=1 d=1 t=818
ni zai 	你再	c=0 d=0.1 t=1144
ni zai shi shi 	你再試試	c=1 d=1 t=1145
ni zi ji 	你自己	c=2 d=1.7902 t=961
ni zi ji kan ba 	你自己看吧	c=1 d=1 t=927
nian 	年	c=0 d=0.1 t=1197
nian jia 	年假	c=0 d=0.1 t=1628
nian xian 	年限	c=0 d=0.1 t=617
nin 	您	c=0 d=0.1 t=1641
nin kan kan 	您看看	c=1 d=1 t=1642
niu bi 	牛逼	c=0 d=0.1 t=1236
nong 	弄	c=1 d=1.0827 t=966
nong nong 	弄弄	c=1 d=1 t=940
nong nong 	濃濃	c=1 d=1 t=939
ou er 	偶爾	c=0 d=0.1 t=109
ou er hai shi hui ke sou 	偶爾還是會咳嗽	c=1 d=1 t=110
pai nao dai 	拍腦袋	c=2 d=1.94176 t=1796
pai xi 	拍戲	c=0 d=0.1 t=1433
pai xia 	拍下	c=0 d=0.1 t=1816
pai xia nao dai zi ji jiu 	拍下腦袋自己就	c=1 d=1 t=1817
pan 	判	c=0 d=0.1 t=1280
pan le ju ti 	判了具體	c=1 d=1 t=1281
pao 	跑	c=0 d=0.1 t=1006
pao bu 	跑步	c=0 d=0.1 t=1154
pao bu qi lai 	跑步起來	c=1 d=1 t=1155
pao lu 	跑路	c=1 d=1 t=1241
pao qi lai jiu xing 	跑起來就行	c=1 d=1 t=1007
pei ou 	配偶	c=1 d=1 t=614
pei zhi 	配置	c=3 d=1.00998 t=1151
pei zhi wen jian 	配置文件	c=3 d=2.18284 t=1124
pi liang 	批量	c=0 d=0.1 t=1033
pi liang dao ru 	批量導入	c=1 d=1 t=1034
pian 	騙	c=0 d=0.1 t=976
pian fu 	篇幅	c=1 d=1.02312 t=898
pian fu gou le 	篇幅夠了	c=1 d=1 t=899
pian xiao hai 	騙小孩	c=1 d=1 t=977
pin 	拼	c=1 d=1 t=1612
pin lv 	頻率	c=0 d=0.1 t=600
pin lv bu gao 	頻率不高	c=1 d=1 t=601
ping 	屏	c=0 d=0.1 t=337
ping bi 	屏蔽	c=1 d=1 t=651
ping guo 	蘋果	c=1 d=1 t=1593
ping jun 	平均	c=1 d=1 t=748
ping mu 	屏幕	c=0 d=0.1 t=63
ping tai 	平臺	c=0 d=0.1 t=76
pu tong 	普通	c=0 d=0.1 t=746
pu tong wen zi 	普通文字	c=1 d=1 t=747
qi dong 	啓動	c=0 d=0.197531 t=1119
qi dong de fu wu 	啓動的服務	c=1 d=1 t=1120
qi lai 	起來	c=0 d=0.142932 t=1515
qi shi 	其實	c=1 d=1 t=959
qi ta 	其他	c=1 d=1.07985 t=1555
qi ta dou hao shuo 	其他都好說	c=1 d=1 t=1511
qi xi 	七夕	c=0 d=0.1 t=1448
qi xi le 	七夕了	c=1 d=1 t=1449
qi ye 	企業	c=0 d=0.1 t=1174
qi ye wei xin bei 	企業微信唄	c=1 d=1 t=1175
qian 	錢	c=1 d=1 t=1385
qian duan 	前端	c=1 d=1 t=1416
qian hou 	前後	c=0 d=0.1 t=925
qian hou duan fen li de 	前後端分離的	c=1 d=1 t=926
qiang tui 	強推	c=1 d=1 t=1002
qing 	請	c=1 d=1 t=486
qing dan 	清單	c=0 d=0.1 t=1694
qing dan dian 	清單點	c=1 d=1 t=1695
qing qiu 	請求	c=7 d=4.48677 t=542
qing qiu di zhi 	請求地址	c=1 d=1 t=539
qing qiu fang shi 	請求方式	c=1 d=1 t=451
qing qiu lei 	請求類	c=1 d=1 t=392
qing shao hou 	請稍候	c=1 d=1 t=336
qing shen 	情深	c=1 d=1 t=911
qing shu ru 	請輸入	c=1 d=1 t=556
qing xi 	清洗	c=1 d=1 t=1658
qing xuan ze 	請選擇	c=1 d=1 t=562
qing zhi fu 	请支付	c=1 d=1 t=482
qu 	去	c=4 d=1.81083 t=1433
qu chong 	去重	c=2 d=1.98511 t=1691
qu na li le 	去哪裏了	c=1 d=1 t=677
qu xiao 	取消	c=0 d=0.1 t=229
qu xiao zhi fu 	取消支付	c=1 d=1 t=230
qu zhe li mian 	去這裏面	c=1 d=1 t=39
quan bu 	全部	c=1 d=0.460595 t=771
quan bu fu zhi 	全部複製	c=1 d=1 t=772
quan ju xing 	全局性	c=0 d=0.1 t=269
quan ju xing de 	全局性的	c=1 d=1 t=270
quan xian 	權限	c=1 d=1.09418 t=23
que ren 	確認	c=1 d=0.624663 t=479
que ren zhi fu 	確認支付	c=1 d=1 t=480
qun li 	羣裏	c=1 d=1 t=804
qun ma 	群马	c=1 d=1 t=125
rang ni men 	讓你們	c=1 d=1 t=706
ren 	人	c=0 d=0.152426 t=1073
ren duo le 	人多了	c=1 d=1 t=1185
ren he 	任何	c=1 d=1 t=1459
ren jia 	人家	c=1 d=1.09802 t=1328
ren jia bu shi 	人家不是	c=1 d=1 t=1325
ren min ri bao 	人民日報	c=1 d=1 t=682
ren yuan 	人員	c=1 d=1 t=1621
ri li 	日曆	c=2 d=1.65377 t=1447
ri qi 	日期	c=3 d=2.09077 t=1601
rong yi 	容易	c=0 d=0.119398 t=1534
rong yi bei 	容易被	c=1 d=1 t=1535
rong yi dan wu shi qing 	容易耽誤事情	c=1 d=1 t=1207
rou 	肉	c=0 d=0.1 t=1710
ru 	如	c=2 d=1.49411 t=359
ru guo 	如果	c=6 d=3.49129 t=1466
ru guo ni zi ji 	如果你自己	c=1 d=1 t=928
ru xu 	如需	c=1 d=1 t=405
ruan 	軟	c=0 d=0.133622 t=922
ruan dai ma 	軟代碼	c=1 d=1 t=923
ruan jian 	軟件	c=2 d=1.86373 t=910
ruan zhu 	軟著	c=3 d=2.33455 t=914
ruo mai 	弱脈	c=1 d=1 t=1599
san 	三	c=1 d=1 t=120
san wu 	三五	c=0 d=0.1 t=1197
san wu nian 	三五年	c=1 d=1 t=1198
san xing 	三星	c=1 d=1 t=1009
sao ma 	掃碼	c=1 d=1 t=171
sha 	啥	c=1 d=0.164574 t=1608
shan chu 	刪除	c=2 d=1.11192 t=1692
shang 	上	c=2 d=2.02447 t=1399
shang chuan 	上傳	c=1 d=1.00758 t=1048
shang hu 	商戶	c=0 d=0.1 t=76
shang hu ping tai 	商戶平臺	c=2 d=1.75219 t=160
shang huo 	上火	c=1 d=1 t=1566
shang le 	上了	c=1 d=1 t=1545
shang liang zhou 	上兩週	c=1 d=1 t=1374
shang xue 	上學	c=1 d=0.43454 t=1437
shang xue de hua 	上學的話	c=1 d=1 t=1438
shao deng 	稍等	c=2 d=1.90937 t=71
she dao 	射到	c=2 d=1.98511 t=1233
she ji 	設計	c=2 d=1.95123 t=201
she zhi 	設置	c=2 d=1.00105 t=1419
she zhi yi xia 	設置一下	c=1 d=1 t=40
shen 	嬸	c=1 d=1.04649 t=695
shen he 	審覈	c=0 d=0.1 t=905
shen he ren 	審覈人	c=1 d=1 t=906
shen me 	什麼	c=2 d=1.39402 t=1812
shen me jing xi 	什麼驚喜	c=1 d=1 t=109
shen me shu ju 	什麼數據	c=1 d=1 t=1049
shen me yue bing 	什麼月餅	c=1 d=1 t=578
shen qing 	申請	c=3 d=0.721126 t=1161
shen qing de 	深情地	c=1 d=1 t=909
shen qing guo 	申請過	c=1 d=1 t=788
shen qing ruan zhu 	申請軟著	c=2 d=1.38098 t=898
shen qing yi ge 	申請一個	c=1 d=1 t=1162
shen shang 	身上	c=0 d=0.1 t=1434
shen shang tie 	身上貼	c=1 d=1 t=1435
sheng bing 	生病	c=0 d=0.1 t=1413
sheng cheng 	生成	c=8 d=5.38121 t=427
sheng cheng de 	生成的	c=1 d=1 t=42
sheng le 	生了	c=0 d=0.1 t=568
sheng qian 	省錢	c=0 d=0.1 t=946
sheng qian le 	省錢了	c=1 d=1 t=947
sheng xiao 	生效	c=0 d=0.1 t=256
sheng xiao shi jian 	生效時間	c=1 d=1 t=257
shi 	是	c=18 d=2.37796 t=1806
shi a 	是啊	c=2 d=1.04097 t=1327
shi ba 	事吧	c=0 d=0.1 t=560
shi bai 	失敗	c=0 d=0.1 t=590
shi fu jin e 	实付金额	c=1 d=1 t=234
shi ge 	是個	c=1 d=1 t=1247
shi gu 	事故	c=1 d=1 t=1264
shi hou 	時候	c=0 d=0.1 t=1040
shi ji 	實際	c=1 d=1.01549 t=1827
shi ji ben 	是基本	c=1 d=1 t=768
shi ji zhi fu 	實際支付	c=2 d=1.90937 t=1474
shi jian 	時間	c=3 d=1.0095 t=1597
shi li 	示例	c=3 d=2.73941 t=455
shi li shu ju 	示例數據	c=1 d=1 t=436
shi ma 	是嗎	c=1 d=1 t=1742
shi qing 	事情	c=1 d=0.356661 t=1206
shi sha 	是啥	c=0 d=0.1 t=903
shi shi 	試試	c=1 d=0.942562 t=1144
shi xian 	實現	c=1 d=1 t=247
shi zhong 	始終	c=1 d=1 t=1420
shou fei 	收費	c=4 d=3.17687 t=1832
shou jiao 	手腳	c=0 d=0.1 t=1288
shou le 	收了	c=0 d=0.1 t=1477
shou le ma 	收了嗎	c=1 d=1 t=1478
shu ju 	數據	c=15 d=3.91381 t=1862
shu ju bao 	數據包	c=1 d=1 t=224
shu ju ku 	數據庫	c=1 d=0.480983 t=1084
shu ju qing xi 	数据清洗	c=1 d=1 t=1654
shu ju shi li 	數據示例	c=1 d=1 t=434
shu ju xin xi 	數據信息	c=1 d=1 t=278
shu liang 	數量	c=1 d=1 t=239
shu ru fa 	輸入法	c=0 d=0.1 t=93
shu xu guan 	鼠鬚管	c=2 d=1.99005 t=91
shu yu 	屬於	c=2 d=1.57407 t=1176
shui 	水	c=0 d=0.1 t=575
shui 	誰	c=3 d=2.67449 t=1507
shui fa chu qu de 	誰發出去的	c=1 d=1 t=1319
shui jiao 	睡覺	c=2 d=1.01945 t=1309
shui le 	水了	c=1 d=1 t=1407
shuo 	說	c=2 d=1.45699 t=1785
shuo ba 	說吧	c=0 d=0.1 t=877
shuo hua 	說話	c=1 d=1 t=1749
shuo le ta ji ju 	說了他幾句	c=1 d=1 t=1316
shuo ming 	說明	c=2 d=1.17552 t=537
shuo ming bai le 	說明白了	c=1 d=1 t=1773
shuo shi 	說是	c=1 d=1 t=664
shuo shuo 	說說	c=1 d=0.471577 t=864
shuo yi xia 	說一下	c=1 d=1 t=63
shuo zhe 	說着	c=0 d=0.1 t=48
si bei 	四杯	c=1 d=1 t=590
si li 	四里	c=1 d=1 t=118
si you hua 	私有化	c=3 d=2.89819 t=1068
song 	送	c=1 d=1 t=1346
suan 	算	c=3 d=2.10265 t=1803
suan fa 	算法	c=1 d=1 t=1337
sui bian 	隨便	c=1 d=0.848264 t=768
sui bian zhao ji ge 	隨便找幾個	c=1 d=1 t=769
suo 	所	c=2 d=1.36029 t=483
suo sheng cheng 	所生成	c=1 d=1 t=295
suo shu 	所屬	c=3 d=2.59711 t=309
suo xing 	索性	c=1 d=1 t=1841
suo yi 	所以	c=5 d=1.16733 t=1840
suo you 	所有	c=1 d=1 t=319
suo you zhe 	所有者	c=0 d=0.1 t=31
ta 	他	c=3 d=1.82812 t=1476
ta 	她	c=3 d=2.10847 t=1767
ta men 	他們	c=2 d=1.71008 t=1059
ta shi 	踏實	c=0 d=0.1 t=1331
ta shi de 	踏實地	c=1 d=1 t=1332
ta shuo 	她說	c=0 d=0.1 t=1608
ta shuo sha 	她說啥	c=1 d=1 t=1609
tai 	太	c=0 d=0.100905 t=1626
tai da 	太大	c=1 d=1 t=843
tai man 	太慢	c=1 d=1 t=998
tai nan 	太難	c=0 d=0.1 t=1013
tai tian le 	太甜了	c=1 d=1 t=1743
tai tu ran le 	太突然了	c=1 d=1 t=686
tai xin 	胎心	c=1 d=1 t=518
tai xin ku le 	太辛苦了	c=1 d=1 t=1627
tao bao 	淘寶	c=1 d=1 t=1334
tao can 	套餐	c=0 d=0.1 t=401
tao lun 	討論	c=3 d=2.30986 t=1836
te pin 	特聘	c=1 d=1 t=1298
teng xun 	騰訊	c=2 d=1.96079 t=68
ti 	提	c=1 d=1 t=1637
ti 	題	c=0 d=0.1 t=1852
ti gong 	提供	c=3 d=2.59551 t=314
ti jiao 	提交	c=3 d=1.11831 t=1729
ti jiao de 	提交的	c=1 d=1 t=1673
ti jiao gou mai xin xi hou 	提交購買信息後	c=1 d=1 t=333
ti jiao le 	提交了	c=1 d=1 t=1040
ti mu 	題目	c=1 d=1.07047 t=1708
ti sheng 	提升	c=0 d=0.1 t=23
ti sheng yi xia 	提升一下	c=1 d=1 t=24
tian hua ban 	天花板	c=0 d=0.1 t=1230
tian hua ban shang 	天花板上	c=1 d=1 t=1231
tian jia 	添加	c=1 d=1.08564 t=550
tian jia ke hu 	添加客戶	c=1 d=1 t=520
tian jin 	天津	c=2 d=2.03361 t=1564
tian tian 	天天	c=4 d=2.71487 t=1846
tiao 	條	c=1 d=1.02774 t=1803
tiao ban ji 	跳板机	c=2 d=1.99501 t=1047
tiao hui 	跳回	c=2 d=1.99005 t=360
tiao zhuan 	跳轉	c=1 d=1 t=348
tie 	貼	c=1 d=0.137068 t=1434
tie dao 	貼到	c=1 d=1 t=736
tie shang 	貼上	c=1 d=1 t=711
ting 	挺	c=0 d=0.165051 t=581
ting bu dong 	聽不懂	c=0 d=0.1 t=86
ting feng sheng 	挺豐盛	c=1 d=1 t=582
ting ting 	聽聽	c=0 d=0.1 t=1216
ting ting jiu hao le 	聽聽就好了	c=1 d=1 t=1217
ting yan zhong de 	挺嚴重的	c=1 d=1 t=496
tong 	同	c=0 d=0.1 t=1077
tong guan 	通關	c=1 d=1 t=1573
tong guo 	通過	c=1 d=1 t=327
tong qin 	通勤	c=2 d=1.23693 t=1867
tong ren 	同仁	c=1 d=1 t=531
tong yi 	同意	c=0 d=0.1 t=160
tong yi 	統一	c=2 d=1.78028 t=207
tong yi sheng cheng 	統一生成	c=1 d=1 t=208
tong yi tai ji qi shang 	同一臺機器上	c=1 d=1 t=1078
tong yi xia dan 	同意下單	c=1 d=1 t=161
tong yi zhi fu 	統一支付	c=4 d=1.87314 t=422
tong yi zhi fu liu cheng 	統一支付流程	c=2 d=1.99501 t=142
tong yong 	通用	c=1 d=1 t=529
tong zhi 	通知	c=2 d=1.60653 t=178
tou 	頭	c=1 d=1 t=1515
tou ru shi yong 	投入使用	c=1 d=1 t=1196
tou tiao 	頭條	c=0 d=0.1 t=1574
tou tiao ye shi 	頭條也是	c=1 d=1 t=1575
tou xiang 	頭像	c=2 d=1.03304 t=1871
tu 	圖	c=1 d=1 t=195
tu hua 	土話	c=1 d=1 t=86
tu ran 	突然	c=0 d=0.1 t=685
tuan dui 	團隊	c=0 d=0.1 t=137
tuan dui cheng yuan yao qing 	團隊成員要請	c=1 d=1 t=138
tui 	腿	c=0 d=0.1 t=783
tui jian 	推薦	c=2 d=1.38098 t=1208
wa keng 	挖坑	c=0 d=0.1 t=1792
wa keng le 	挖坑了	c=1 d=1 t=1793
wan 	完	c=1 d=1 t=1330
wan 	玩	c=2 d=1.41125 t=1572
wan 	萬	c=1 d=1 t=1787
wan ba 	玩吧	c=1 d=1 t=1570
wan cheng 	完成	c=1 d=1 t=352
wan le 	完了	c=1 d=1.0093 t=1741
wan le 	晚了	c=0 d=0.1 t=1735
wan shang 	晚上	c=1 d=1 t=671
wan tiao 	萬條	c=1 d=1 t=1797
wan wan 	玩玩	c=0 d=0.1 t=1739
wan wan le ma 	玩玩了嗎	c=1 d=1 t=1740
wan yi 	萬一	c=0 d=0.1 t=1775
wan yi jiang lai 	萬一將來	c=1 d=1 t=1776
